,log_id,timestamp,source,destination,type,description,last_hash,actual_hash
48,49,2024-07-06 06:44:43.388753920,Admin,Category Collection,CREATE,{'content': 'Creating new category'},406a52d03a17633d71347041728338992b498c7a0a459261d659b315d355074d,4637209614b11db2b7c2f23cd01977ccb50d7ae60a0e982cf1269f3d778fe1d6
49,50,2024-07-06 06:47:45.845152768,Admin,Category Collection,CREATE,{'content': 'Creating new category'},4637209614b11db2b7c2f23cd01977ccb50d7ae60a0e982cf1269f3d778fe1d6,fb1c79e6a623de2e5f992ec30535179d0173a307769e0b76da75f4a281107e2b
50,51,2024-07-06 06:47:52.496783104,Admin,Category Collection,CREATE,{'content': 'Creating new category'},fb1c79e6a623de2e5f992ec30535179d0173a307769e0b76da75f4a281107e2b,8fb7cf3ebd8e19dd87c2cc521101c2135e6fa392f77c4f83cbd50e318480ba61
55,56,2024-07-06 06:50:01.786891520,Admin,Schema Collection,CREATE,{'content': 'Creating new schema'},a8f509884dbe5f240658187287718584bcf086dde4b02f2af21f2e74742c11dc,db48104353cffc107458dd046d314fd6609bb9682ca6905cba0254715746df7c
56,57,2024-07-06 06:50:10.498622720,Admin,Schema Collection,CREATE,{'content': 'Creating new schema'},db48104353cffc107458dd046d314fd6609bb9682ca6905cba0254715746df7c,dc77bfc9bef9800da4b3bf9ee3cb4a79e35f88c52d56659bbaf29b0b35b68fbf
57,58,2024-07-06 06:50:17.972179200,Admin,Schema Collection,CREATE,{'content': 'Creating new schema'},dc77bfc9bef9800da4b3bf9ee3cb4a79e35f88c52d56659bbaf29b0b35b68fbf,c5f6e988b8e3283c0f9792393cc609ea422494dbd16c4f09119621dfaf3af86c
68,69,2024-07-06 12:11:56.979819008,Admin,Schema Collection,CREATE,{'content': 'Creating new schema'},4f97e044a668d801dba5ee5836d01b3ca0350e886be881bacb067abf4c4f9ce7,0fbea267b86d965dc9da5c1cc11fe47700d8f1960e899e91ed04dcf267faa4f5
114,115,2024-07-10 17:27:59.723709696,Admin,Category Collection,CREATE,{'content': 'Creating new category'},db0dc18fe2794e46dde9a86c7550636dc7c627e73efc549497478be84748bb14,6f5a7d653e7a8c369acfa8c88754a7ff0c0266c64334eda6bacf8ce5dccba905
115,116,2024-07-10 17:30:10.683131648,Admin,Category Collection,CREATE,{'content': 'Creating new category'},6f5a7d653e7a8c369acfa8c88754a7ff0c0266c64334eda6bacf8ce5dccba905,7bc7b6b434e5380ddbbc080da1c640e2455682720a6fe03d6569e3ef430ba99d
116,117,2024-07-10 17:30:43.719564544,Admin,Category Collection,CREATE,{'content': 'Creating new category'},7bc7b6b434e5380ddbbc080da1c640e2455682720a6fe03d6569e3ef430ba99d,a64f4f27829f51826913eb2234464a1f300614fed32219fccb77c2bb9be06d35
117,118,2024-07-10 17:31:44.247459328,Admin,Category Collection,CREATE,{'content': 'Creating new category'},a64f4f27829f51826913eb2234464a1f300614fed32219fccb77c2bb9be06d35,bbf04ddc85e36dbd7aea747352491ed8775090ce9545b7bbb20d4bf58e4ad7de
118,119,2024-07-10 17:32:48.237246464,Admin,Category Collection,CREATE,{'content': 'Creating new category'},bbf04ddc85e36dbd7aea747352491ed8775090ce9545b7bbb20d4bf58e4ad7de,65666c7c94924107ecb6dc92522a7f99231a516b806e98ee64eb84fb226ac8d1
119,120,2024-07-10 17:34:59.231451392,Admin,Category Collection,CREATE,{'content': 'Creating new category'},65666c7c94924107ecb6dc92522a7f99231a516b806e98ee64eb84fb226ac8d1,ca71bb928a8b0cbf959c1870d14546827a564b54397fc8456da2de6aab57e25b
121,122,2024-07-10 17:41:49.946899200,Admin,Category Collection,CREATE,{'content': 'Creating new category'},c51e6b12dad7186ca830deeb0d5d9aaac0c57282afb39c09ba72ea6aa0b67fdc,5f06138f1356cbd0500b7a1c17bcaf5e623162bd206983476541fcc9db91fadb
125,126,2024-07-10 18:31:31.988792064,Admin,Category Collection,CREATE,{'content': 'Creating new category'},d44aca56baaa6d4e0d9f30e5ed90b82df40efb3c73b4ad1aee1f5aa59604f2ff,a5d17b4ae74231c8e25d8712a83c05bc4d8dde6b1bc960242b20b07f49548092
127,128,2024-07-10 18:32:00.113437184,Admin,Category Collection,CREATE,{'content': 'Creating new category'},f68cdb16ed2a76dc978f2e1e99d4d12ca0a09e6a3bc82659ea71602fe67c94f1,362a10b99f0ae703f928d9a613800e02bf283693142b94f97e527de891c20c6e
130,131,2024-07-10 18:35:25.711540480,Admin,Category Collection,CREATE,{'content': 'Creating new category'},093c2526dbc36bf1959279a648c1f40eafb9445661edabb6a218b54d8bca334e,f8863004d68a49824711d21d7b5a385b735926a63aab135751a34b70d1e472c4
131,132,2024-07-10 18:35:33.675168512,Admin,Category Collection,CREATE,{'content': 'Creating new category'},f8863004d68a49824711d21d7b5a385b735926a63aab135751a34b70d1e472c4,54be48b52f4b519210c427f2fb87f636833f932c2d5a9a4d6513194e2bd340e5
135,136,2024-07-10 18:44:56.645735936,Admin,Category Collection,CREATE,{'content': 'Creating new category'},e5c34d07a34c003e77d83116a6bdd12bfd19caf582542ec358d74591b2c4d9f1,db309bab826ec311031f7a4572d0e6ab58fb940facb2f55ba4da0c18b9bcbddb
